"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 12:46:58 GMT 2025","Fri Jan 03 12:46:59 GMT 2025","89","","Update Book API Testing","","User updates the Book with valid data","","User updates the Book with valid data",""
"passed","Fri Jan 03 12:46:58 GMT 2025","Fri Jan 03 12:46:58 GMT 2025","88","","Get Book By ID API Testing","","Invalid ID Test","","Invalid ID Test",""
"passed","Fri Jan 03 12:47:19 GMT 2025","Fri Jan 03 12:47:22 GMT 2025","2870","","Advanced Search for Products","","Search for a product using advanced search filters","","Search for a product using advanced search filters","  As a user
  I want to search for products using advanced filters
  So that I can find specific products efficiently"
"passed","Fri Jan 03 12:46:57 GMT 2025","Fri Jan 03 12:46:58 GMT 2025","400","","Get Book By ID API Testing","","Admin retrieves a specific book","","Admin retrieves a specific book",""
"passed","Fri Jan 03 12:46:56 GMT 2025","Fri Jan 03 12:46:56 GMT 2025","106","","Create Book API Testing","","Admin creates a book with valid data","","Admin creates a book with valid data",""
"passed","Fri Jan 03 12:46:56 GMT 2025","Fri Jan 03 12:46:57 GMT 2025","37","","Create Book API Testing","","Un Authenticated Request to create book","","Un Authenticated Request to create book",""
"passed","Fri Jan 03 12:47:22 GMT 2025","Fri Jan 03 12:47:31 GMT 2025","9577","","Product Comparison Functionality","","Add a product to the comparison list from the product detail page","","Add a product to the comparison list from the product detail page","  As a user
  I want to be able to add products to a comparison list
  So that I can compare the features of different products"
"failed","Fri Jan 03 12:46:58 GMT 2025","Fri Jan 03 12:46:58 GMT 2025","91","","Update Book API Testing","","Admin updates the book with missing mandatory fields","","Admin updates the book with missing mandatory fields",""
"broken","Fri Jan 03 12:49:34 GMT 2025","Fri Jan 03 12:49:51 GMT 2025","16569","","Edit an item on cart","","Edit an item on cart","","Edit an item on cart","  As a user
  I want to edit an item that already added to cart"
"passed","Fri Jan 03 12:46:58 GMT 2025","Fri Jan 03 12:46:58 GMT 2025","96","","Get Book Requests","","Admin GET all books","","Admin GET all books",""
"passed","Fri Jan 03 12:46:57 GMT 2025","Fri Jan 03 12:46:57 GMT 2025","91","","Delete Book API Testing","","Admin deletes a book with an incorrect ID","","Admin deletes a book with an incorrect ID",""
"failed","Fri Jan 03 12:46:58 GMT 2025","Fri Jan 03 12:46:58 GMT 2025","94","","Update Book API Testing","","Admin updates the Book with valid data","","Admin updates the Book with valid data",""
"skipped","Fri Jan 03 12:46:57 GMT 2025","Fri Jan 03 12:46:57 GMT 2025","3","","Create Book API Testing","","User creates a book with additional parameter","","User creates a book with additional parameter",""
"broken","Fri Jan 03 12:50:02 GMT 2025","Fri Jan 03 12:50:09 GMT 2025","6806","","remove product from cart","","Remove a product from the cart","","Remove a product from the cart","  As a user
  I want to remove products from the cart
  So that I can update my selection"
"failed","Fri Jan 03 12:46:58 GMT 2025","Fri Jan 03 12:46:58 GMT 2025","88","","Get Book Requests","","GET books when no books exist","","GET books when no books exist",""
"passed","Fri Jan 03 12:46:58 GMT 2025","Fri Jan 03 12:46:58 GMT 2025","88","","Get Book Requests","","User GET all books","","User GET all books",""
"skipped","Fri Jan 03 12:46:57 GMT 2025","Fri Jan 03 12:46:57 GMT 2025","4","","Create Book API Testing","","User creates a book with an empty author and title","","User creates a book with an empty author and title",""
"skipped","Fri Jan 03 12:46:57 GMT 2025","Fri Jan 03 12:46:57 GMT 2025","3","","Create Book API Testing","","User creates a book with a duplicate title","","User creates a book with a duplicate title",""
"failed","Fri Jan 03 12:46:57 GMT 2025","Fri Jan 03 12:46:57 GMT 2025","96","","Delete Book API Testing","","Admin deletes a book with an invalid ID","","Admin deletes a book with an invalid ID",""
"passed","Fri Jan 03 12:46:54 GMT 2025","Fri Jan 03 12:46:56 GMT 2025","1781","","Create Book API Testing","","User creates a book with valid data","","User creates a book with valid data",""
"failed","Fri Jan 03 12:46:57 GMT 2025","Fri Jan 03 12:46:57 GMT 2025","90","","Get Book By ID API Testing","","User retrieves a specific book","","User retrieves a specific book",""
"passed","Fri Jan 03 12:47:39 GMT 2025","Fri Jan 03 12:47:47 GMT 2025","7316","","Add product to wish list","","Add a product to the wish list","","Add a product to the wish list","  As a user
  I want to add products to the wish list
  So that I can purchase them later"
"passed","Fri Jan 03 12:49:59 GMT 2025","Fri Jan 03 12:50:02 GMT 2025","3345","","Orders and Returns Functionality","","Access Orders and Returns page from Home page","","Access Orders and Returns page from Home page",""
"passed","Fri Jan 03 12:46:58 GMT 2025","Fri Jan 03 12:46:58 GMT 2025","104","","Get Book By ID API Testing","","Admin attempts to retrieve a non-existent book","","Admin attempts to retrieve a non-existent book",""
"passed","Fri Jan 03 12:47:31 GMT 2025","Fri Jan 03 12:47:39 GMT 2025","7759","","Add product to cart","","Add a single product to the cart","","Add a single product to the cart","  As a user
  I want to add products to the cart 
  So that I can purchase them later"
