"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 20:17:18 GMT 2025","Thu Jan 02 20:17:18 GMT 2025","87","","Update Book API Testing","","User updates the details of a book","","User updates the details of a book",""
"passed","Thu Jan 02 20:17:16 GMT 2025","Thu Jan 02 20:17:16 GMT 2025","33","","Create Book API Testing","","Un Authenticated Request to create book","","Un Authenticated Request to create book",""
"failed","Thu Jan 02 20:17:16 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","107","","Delete Book API Testing","","Admin deletes a book with a valid ID","","Admin deletes a book with a valid ID",""
"skipped","Thu Jan 02 20:17:16 GMT 2025","Thu Jan 02 20:17:16 GMT 2025","3","","Create Book API Testing","","User creates a book with a duplicate title","","User creates a book with a duplicate title",""
"skipped","Thu Jan 02 20:17:16 GMT 2025","Thu Jan 02 20:17:16 GMT 2025","3","","Create Book API Testing","","User creates a book with additional parameter","","User creates a book with additional parameter",""
"failed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","101","","Get Book Requests","","GET books with invalid query parameters","","GET books with invalid query parameters",""
"skipped","Thu Jan 02 20:17:16 GMT 2025","Thu Jan 02 20:17:16 GMT 2025","4","","Create Book API Testing","","User creates a book with an empty author and title","","User creates a book with an empty author and title",""
"passed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","90","","Get Book Requests","","User GET all books","","User GET all books",""
"passed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","93","","Delete Book API Testing","","Admin deletes a book with an incorrect ID","","Admin deletes a book with an incorrect ID",""
"passed","Thu Jan 02 20:17:16 GMT 2025","Thu Jan 02 20:17:16 GMT 2025","103","","Create Book API Testing","","Admin creates a book without author","","Admin creates a book without author",""
"failed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","94","","Get Book Requests","","GET books when no books exist","","GET books when no books exist",""
"failed","Thu Jan 02 20:17:16 GMT 2025","Thu Jan 02 20:17:16 GMT 2025","110","","Create Book API Testing","","User creates a book without title","","User creates a book without title",""
"failed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","90","","Delete Book API Testing","","Admin deletes a book with an invalid ID","","Admin deletes a book with an invalid ID",""
"failed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","94","","Update Book API Testing","","Admin updates the book with missing mandatory fields","","Admin updates the book with missing mandatory fields",""
"failed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","91","","Update Book API Testing","","Admin updates the details of a book","","Admin updates the details of a book",""
"passed","Thu Jan 02 20:17:14 GMT 2025","Thu Jan 02 20:17:16 GMT 2025","1878","","Create Book API Testing","","User creates a book with valid data","","User creates a book with valid data",""
"failed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","110","","Delete Book API Testing","","User tries to delete a book","","User tries to delete a book",""
"passed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:18 GMT 2025","98","","Update Book API Testing","","Admin updates the book with non-existing id","","Admin updates the book with non-existing id",""
"failed","Thu Jan 02 20:17:16 GMT 2025","Thu Jan 02 20:17:16 GMT 2025","97","","Create Book API Testing","","User creates a book without author","","User creates a book without author",""
"passed","Thu Jan 02 20:17:17 GMT 2025","Thu Jan 02 20:17:17 GMT 2025","103","","Get Book Requests","","Admin GET all books","","Admin GET all books",""
