"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 02 22:03:49 GMT 2025","Thu Jan 02 22:03:50 GMT 2025","127","","Delete Book API Testing","","Admin deletes a book with a valid ID","","Admin deletes a book with a valid ID",""
"passed","Thu Jan 02 22:03:47 GMT 2025","Thu Jan 02 22:03:49 GMT 2025","1740","","Create Book API Testing","","User creates a book with valid data","","User creates a book with valid data",""
"passed","Thu Jan 02 22:03:49 GMT 2025","Thu Jan 02 22:03:49 GMT 2025","36","","Create Book API Testing","","Un Authenticated Request to create book","","Un Authenticated Request to create book",""
"skipped","Thu Jan 02 22:03:49 GMT 2025","Thu Jan 02 22:03:49 GMT 2025","4","","Create Book API Testing","","User creates a book with a duplicate title","","User creates a book with a duplicate title",""
"skipped","Thu Jan 02 22:03:49 GMT 2025","Thu Jan 02 22:03:49 GMT 2025","4","","Create Book API Testing","","User creates a book with an empty author and title","","User creates a book with an empty author and title",""
"failed","Thu Jan 02 22:03:50 GMT 2025","Thu Jan 02 22:03:50 GMT 2025","87","","Get Book Requests","","GET books when no books exist","","GET books when no books exist",""
"passed","Thu Jan 02 22:06:37 GMT 2025","Thu Jan 02 22:06:45 GMT 2025","8292","","Add a new address","","User adds a new address","","User adds a new address","  As a user
  I want to add a new address
  So that I can use them later"
"failed","Thu Jan 02 22:03:50 GMT 2025","Thu Jan 02 22:03:50 GMT 2025","113","","Delete Book API Testing","","User tries to delete a book","","User tries to delete a book",""
"skipped","Thu Jan 02 22:03:49 GMT 2025","Thu Jan 02 22:03:49 GMT 2025","5","","Create Book API Testing","","User creates a book with additional parameter","","User creates a book with additional parameter",""
"passed","Thu Jan 02 22:04:26 GMT 2025","Thu Jan 02 22:04:34 GMT 2025","7695","","Add product to wish list","","Add a product to the wish list","","Add a product to the wish list","  As a user
  I want to add products to the wish list
  So that I can purchase them later"
"failed","Thu Jan 02 22:03:50 GMT 2025","Thu Jan 02 22:03:50 GMT 2025","102","","Update Book API Testing","","Admin updates the book with missing mandatory fields","","Admin updates the book with missing mandatory fields",""
"passed","Thu Jan 02 22:03:50 GMT 2025","Thu Jan 02 22:03:50 GMT 2025","106","","Get Book Requests","","Admin GET all books","","Admin GET all books",""
"passed","Thu Jan 02 22:03:51 GMT 2025","Thu Jan 02 22:03:51 GMT 2025","87","","Update Book API Testing","","User updates the details of a book","","User updates the details of a book",""
"failed","Thu Jan 02 22:03:49 GMT 2025","Thu Jan 02 22:03:49 GMT 2025","97","","Create Book API Testing","","User creates a book without author","","User creates a book without author",""
"passed","Thu Jan 02 22:04:18 GMT 2025","Thu Jan 02 22:04:26 GMT 2025","8551","","Add product to cart","","Add a single product to the cart","","Add a single product to the cart","  As a user
  I want to add products to the cart 
  So that I can purchase them later"
"failed","Thu Jan 02 22:03:49 GMT 2025","Thu Jan 02 22:03:49 GMT 2025","106","","Create Book API Testing","","User creates a book without title","","User creates a book without title",""
"passed","Thu Jan 02 22:04:34 GMT 2025","Thu Jan 02 22:06:23 GMT 2025","108625","","Proceed to Checkout and Place Order without an Account","","User proceeds to checkout","","User proceeds to checkout","  As a  user
  I want to add products to the cart
  and proceed to checkout
  So that I can place an order without an account, but I must create an account to complete the purchase."
"failed","Thu Jan 02 22:03:50 GMT 2025","Thu Jan 02 22:03:50 GMT 2025","98","","Get Book Requests","","GET books with invalid query parameters","","GET books with invalid query parameters",""
"passed","Thu Jan 02 22:04:07 GMT 2025","Thu Jan 02 22:04:15 GMT 2025","8011","","register new user","","Create a new account to register","","Create a new account to register","  As a user
  I want to register
  So that I can login"
"broken","Thu Jan 02 22:06:23 GMT 2025","Thu Jan 02 22:06:37 GMT 2025","14200","","Edit an item on cart","","Edit an item on cart","","Edit an item on cart","  As a user
  I want to edit an item that already added to cart"
"failed","Thu Jan 02 22:03:50 GMT 2025","Thu Jan 02 22:03:50 GMT 2025","100","","Delete Book API Testing","","Admin deletes a book with an invalid ID","","Admin deletes a book with an invalid ID",""
"passed","Thu Jan 02 22:03:49 GMT 2025","Thu Jan 02 22:03:49 GMT 2025","101","","Create Book API Testing","","Admin creates a book with valid data","","Admin creates a book with valid data",""
"failed","Thu Jan 02 22:03:50 GMT 2025","Thu Jan 02 22:03:51 GMT 2025","94","","Update Book API Testing","","Admin updates the details of a book","","Admin updates the details of a book",""
"passed","Thu Jan 02 22:03:50 GMT 2025","Thu Jan 02 22:03:50 GMT 2025","100","","Delete Book API Testing","","Admin deletes a book with an incorrect ID","","Admin deletes a book with an incorrect ID",""
"passed","Thu Jan 02 22:03:50 GMT 2025","Thu Jan 02 22:03:50 GMT 2025","102","","Get Book Requests","","User GET all books","","User GET all books",""
"passed","Thu Jan 02 22:03:51 GMT 2025","Thu Jan 02 22:03:51 GMT 2025","108","","Update Book API Testing","","Admin updates the book with non-existing id","","Admin updates the book with non-existing id",""
"broken","Thu Jan 02 22:06:45 GMT 2025","Thu Jan 02 22:06:59 GMT 2025","14001","","remove product from cart","","Remove a product from the cart","","Remove a product from the cart","  As a user
  I want to remove products from the cart
  So that I can update my selection"
"passed","Thu Jan 02 22:04:15 GMT 2025","Thu Jan 02 22:04:18 GMT 2025","3143","","Advanced Search for Products","","Search for a product using advanced search filters","","Search for a product using advanced search filters","  As a user
  I want to search for products using advanced filters
  So that I can find specific products efficiently"
