"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 12:53:42 GMT 2025","Fri Jan 03 12:53:48 GMT 2025","5428","","remove product from cart","","Remove a product from the cart","","Remove a product from the cart","  As a user
  I want to remove products from the cart
  So that I can update my selection"
"passed","Fri Jan 03 12:48:12 GMT 2025","Fri Jan 03 12:48:12 GMT 2025","91","","Delete Book API Testing","","Admin deletes a book with an incorrect ID","","Admin deletes a book with an incorrect ID",""
"passed","Fri Jan 03 12:48:14 GMT 2025","Fri Jan 03 12:48:14 GMT 2025","89","","Update Book API Testing","","User updates the Book with valid data","","User updates the Book with valid data",""
"passed","Fri Jan 03 12:48:12 GMT 2025","Fri Jan 03 12:48:12 GMT 2025","46","","Create Book API Testing","","Un Authenticated Request to create book","","Un Authenticated Request to create book",""
"broken","Fri Jan 03 12:48:47 GMT 2025","Fri Jan 03 12:48:56 GMT 2025","8700","","Product Comparison Functionality","","Add a product to the comparison list from the product detail page","","Add a product to the comparison list from the product detail page","  As a user
  I want to be able to add products to a comparison list
  So that I can compare the features of different products"
"failed","Fri Jan 03 12:48:14 GMT 2025","Fri Jan 03 12:48:14 GMT 2025","95","","Update Book API Testing","","Admin updates the Book with valid data","","Admin updates the Book with valid data",""
"failed","Fri Jan 03 12:48:13 GMT 2025","Fri Jan 03 12:48:13 GMT 2025","89","","Get Book By ID API Testing","","User retrieves a specific book","","User retrieves a specific book",""
"failed","Fri Jan 03 12:48:12 GMT 2025","Fri Jan 03 12:48:13 GMT 2025","107","","Delete Book API Testing","","User tries to delete a book","","User tries to delete a book",""
"passed","Fri Jan 03 12:48:13 GMT 2025","Fri Jan 03 12:48:13 GMT 2025","107","","Get Book By ID API Testing","","Admin attempts to retrieve a non-existent book","","Admin attempts to retrieve a non-existent book",""
"failed","Fri Jan 03 12:48:14 GMT 2025","Fri Jan 03 12:48:14 GMT 2025","89","","Update Book API Testing","","Admin updates the book with missing mandatory fields","","Admin updates the book with missing mandatory fields",""
"passed","Fri Jan 03 12:48:12 GMT 2025","Fri Jan 03 12:48:12 GMT 2025","101","","Create Book API Testing","","Admin creates a book with valid data","","Admin creates a book with valid data",""
"skipped","Fri Jan 03 12:48:12 GMT 2025","Fri Jan 03 12:48:12 GMT 2025","2","","Create Book API Testing","","User creates a book with a duplicate title","","User creates a book with a duplicate title",""
"broken","Fri Jan 03 12:52:58 GMT 2025","Fri Jan 03 12:53:12 GMT 2025","14332","","Proceed to Checkout and Place Order","","User proceeds to checkout","","User proceeds to checkout","  As a  user
  I want to add products to the cart
  and proceed to checkout
  So that I can place an order without an account, but I must create an account to complete the purchase."
"passed","Fri Jan 03 12:48:44 GMT 2025","Fri Jan 03 12:48:47 GMT 2025","3363","","Advanced Search for Products","","Search for a product using advanced search filters","","Search for a product using advanced search filters","  As a user
  I want to search for products using advanced filters
  So that I can find specific products efficiently"
"failed","Fri Jan 03 12:48:12 GMT 2025","Fri Jan 03 12:48:12 GMT 2025","91","","Delete Book API Testing","","Admin deletes a book with an invalid ID","","Admin deletes a book with an invalid ID",""
"passed","Fri Jan 03 12:48:14 GMT 2025","Fri Jan 03 12:48:14 GMT 2025","89","","Update Book API Testing","","Admin updates the book with non-existing ID","","Admin updates the book with non-existing ID",""
"passed","Fri Jan 03 12:48:13 GMT 2025","Fri Jan 03 12:48:13 GMT 2025","95","","Get Book Requests","","Admin GET all books","","Admin GET all books",""
"failed","Fri Jan 03 12:48:12 GMT 2025","Fri Jan 03 12:48:12 GMT 2025","109","","Create Book API Testing","","User creates a book without title","","User creates a book without title",""
"passed","Fri Jan 03 12:53:39 GMT 2025","Fri Jan 03 12:53:42 GMT 2025","3376","","Orders and Returns Functionality","","Access Orders and Returns page from Home page","","Access Orders and Returns page from Home page",""
"failed","Fri Jan 03 12:48:14 GMT 2025","Fri Jan 03 12:48:14 GMT 2025","99","","Get Book Requests","","GET books with invalid query parameters","","GET books with invalid query parameters",""
