"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 03 16:37:39 GMT 2025","Fri Jan 03 16:38:37 GMT 2025","58037","","Edit an item on cart","","Edit an item on cart","","Edit an item on cart","  As a user
  I want to edit an item that already added to cart"
"failed","Fri Jan 03 16:34:48 GMT 2025","Fri Jan 03 16:34:48 GMT 2025","102","","Delete Book API Testing","","User tries to delete a book","","User tries to delete a book",""
"failed","Fri Jan 03 16:34:47 GMT 2025","Fri Jan 03 16:34:47 GMT 2025","93","","Create Book API Testing","","User creates a book with additional parameter","","User creates a book with additional parameter",""
"passed","Fri Jan 03 16:34:48 GMT 2025","Fri Jan 03 16:34:48 GMT 2025","92","","Get Book By ID API Testing","","Admin attempts to retrieve a non-existent book","","Admin attempts to retrieve a non-existent book",""
"passed","Fri Jan 03 16:34:48 GMT 2025","Fri Jan 03 16:34:48 GMT 2025","90","","Get Book Requests","","User GET all books","","User GET all books",""
"passed","Fri Jan 03 16:34:48 GMT 2025","Fri Jan 03 16:34:48 GMT 2025","92","","Get Book Requests","","Admin GET all books","","Admin GET all books",""
"passed","Fri Jan 03 16:35:01 GMT 2025","Fri Jan 03 16:35:22 GMT 2025","20779","","register new user","","Create a new account to register","","Create a new account to register","  As a user
  I want to register
  So that I can login"
"passed","Fri Jan 03 16:35:40 GMT 2025","Fri Jan 03 16:35:47 GMT 2025","6140","","Add product to cart","","Add a single product to the cart","","Add a single product to the cart","  As a user
  I want to add products to the cart 
  So that I can purchase them later"
"passed","Fri Jan 03 16:38:46 GMT 2025","Fri Jan 03 16:38:49 GMT 2025","3256","","Orders and Returns Functionality","","Access Orders and Returns page from Home page","","Access Orders and Returns page from Home page",""
"passed","Fri Jan 03 16:34:48 GMT 2025","Fri Jan 03 16:34:49 GMT 2025","95","","Update Book API Testing","","Admin updates the Book with valid data","","Admin updates the Book with valid data",""
"broken","Fri Jan 03 16:35:25 GMT 2025","Fri Jan 03 16:35:30 GMT 2025","5268","","Product Comparison Functionality","","Add a product to the comparison list from the product detail page","","Add a product to the comparison list from the product detail page","  As a user
  I want to be able to add products to a comparison list
  So that I can compare the features of different products"
"passed","Fri Jan 03 16:35:30 GMT 2025","Fri Jan 03 16:35:40 GMT 2025","10424","","Add review to a product","","Add review to a product","","Add review to a product","  As a user
  I want to add review to the products"
"failed","Fri Jan 03 16:34:48 GMT 2025","Fri Jan 03 16:34:48 GMT 2025","94","","Get Book Requests","","GET books with invalid query parameters","","GET books with invalid query parameters",""
"passed","Fri Jan 03 16:34:47 GMT 2025","Fri Jan 03 16:34:47 GMT 2025","35","","Create Book API Testing","","Un Authenticated Request to create book","","Un Authenticated Request to create book",""
"failed","Fri Jan 03 16:34:47 GMT 2025","Fri Jan 03 16:34:48 GMT 2025","92","","Delete Book API Testing","","Admin deletes a book with an invalid ID","","Admin deletes a book with an invalid ID",""
"passed","Fri Jan 03 16:34:47 GMT 2025","Fri Jan 03 16:34:47 GMT 2025","100","","Create Book API Testing","","Admin creates a book with valid data","","Admin creates a book with valid data",""
"passed","Fri Jan 03 16:35:52 GMT 2025","Fri Jan 03 16:37:39 GMT 2025","107692","","Proceed to Checkout and Place Order","","User proceeds to checkout","","User proceeds to checkout","  As a  user
  I want to add products to the cart
  and proceed to checkout
  So that I can place an order without an account, but I must create an account to complete the purchase."
