"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Create Book API Testing","User creates a book with valid data","0","0","1","0","0"
"","Get Book By ID API Testing","Admin attempts to retrieve a non-existent book","0","0","1","0","0"
"","Create Book API Testing","User creates a book with a duplicate title","0","0","1","0","0"
"","Get Book By ID API Testing","Admin retrieves a specific book","0","0","1","0","0"
"","Add a new address","User adds a new address","0","0","1","0","0"
"","Create Book API Testing","Admin creates a book with valid data","0","0","1","0","0"
"","Get Book Requests","GET books with invalid query parameters","1","0","0","0","0"
"","Proceed to Checkout and Place Order","User proceeds to checkout","0","0","1","0","0"
"","Create Book API Testing","User creates a book without title","1","0","0","0","0"
"","Update Book API Testing","Admin updates the book with missing mandatory fields","1","0","0","0","0"
"","Edit an item on cart","Edit an item on cart","0","1","0","0","0"
"","register new user","Create a new account to register","0","0","1","0","0"
"","Create Book API Testing","Un Authenticated Request to create book","0","0","1","0","0"
"","Product Comparison Functionality","Add a product to the comparison list from the product detail page","0","1","0","0","0"
"","Get Book By ID API Testing","User retrieves a specific book","1","0","0","0","0"
"","Create Book API Testing","User creates a book without author","1","0","0","0","0"
"","Create Book API Testing","User creates a book with additional parameter","1","0","0","0","0"
"","Update Book API Testing","User tries to updates the Book with mismatch IDs","0","0","1","0","0"
"","Add review to a product","Add review to a product","0","0","1","0","0"
"","Create Book API Testing","User creates a book with an empty author and title","1","0","0","0","0"
"","Delete Book API Testing","User tries to delete a book","1","0","0","0","0"
"","Add product to wish list","Add a product to the wish list","0","0","1","0","0"
"","Get Book Requests","User GET all books","0","0","1","0","0"
"","Get Book By ID API Testing","Invalid ID Test","0","0","1","0","0"
"","remove product from cart","Remove a product from the cart","0","1","0","0","0"
"","Add product to cart","Add a single product to the cart","0","0","1","0","0"
"","Update Book API Testing","Admin updates the Book with valid data","0","0","1","0","0"
"","Delete Book API Testing","Admin deletes a book with an invalid ID","1","0","0","0","0"
"","Delete Book API Testing","Admin deletes a book with a valid ID","1","0","0","0","0"
"","Orders and Returns Functionality","Access Orders and Returns page from Home page","0","0","1","0","0"
"","Update Book API Testing","User updates the Book with valid data","0","0","1","0","0"
"","Update Book API Testing","Admin updates the book with non-existing ID","0","0","1","0","0"
"","Get Book Requests","Admin GET all books","0","0","1","0","0"
"","Delete Book API Testing","Admin deletes a book with an incorrect ID","0","0","1","0","0"
"","Advanced Search for Products","Search for a product using advanced search filters","0","0","1","0","0"
